COUNTYNAME,COUNTYFP,YEAR,FuelType,value
Delaware,39041,2000,count_Biofuel,0
Delaware,39041,2001,count_Biofuel,0
Delaware,39041,2002,count_Biofuel,0
Delaware,39041,2003,count_Biofuel,0
Delaware,39041,2004,count_Biofuel,0.0
Delaware,39041,2005,count_Biofuel,0
Delaware,39041,2006,count_Biofuel,0.0
Delaware,39041,2007,count_Biofuel,0
Delaware,39041,2008,count_Biofuel,0
Delaware,39041,2009,count_Biofuel,0.0
Delaware,39041,2010,count_Biofuel,0.0
Delaware,39041,2011,count_Biofuel,0
Delaware,39041,2012,count_Biofuel,0.0
Delaware,39041,2013,count_Biofuel,0.0
Delaware,39041,2014,count_Biofuel,0.0
Delaware,39041,2015,count_Biofuel,0.0
Delaware,39041,2016,count_Biofuel,0.0
Delaware,39041,2017,count_Biofuel,0.0
Delaware,39041,2018,count_Biofuel,0.0
Delaware,39041,2019,count_Biofuel,0.0
Delaware,39041,2020,count_Biofuel,0.0
Delaware,39041,2021,count_Biofuel,0.0
Delaware,39041,2022,count_Biofuel,0.0
Delaware,39041,2023,count_Biofuel,0.0
Delaware,39041,2024,count_Biofuel,0.0
Delaware,39041,2000,count_Energy Storage,0
Delaware,39041,2001,count_Energy Storage,0
Delaware,39041,2002,count_Energy Storage,0
Delaware,39041,2003,count_Energy Storage,0
Delaware,39041,2004,count_Energy Storage,0.0
Delaware,39041,2005,count_Energy Storage,0
Delaware,39041,2006,count_Energy Storage,0.0
Delaware,39041,2007,count_Energy Storage,0
Delaware,39041,2008,count_Energy Storage,0
Delaware,39041,2009,count_Energy Storage,0.0
Delaware,39041,2010,count_Energy Storage,0.0
Delaware,39041,2011,count_Energy Storage,0
Delaware,39041,2012,count_Energy Storage,0.0
Delaware,39041,2013,count_Energy Storage,1.0
Delaware,39041,2014,count_Energy Storage,0.0
Delaware,39041,2015,count_Energy Storage,0.0
Delaware,39041,2016,count_Energy Storage,0.0
Delaware,39041,2017,count_Energy Storage,0.0
Delaware,39041,2018,count_Energy Storage,0.0
Delaware,39041,2019,count_Energy Storage,0.0
Delaware,39041,2020,count_Energy Storage,2.0
Delaware,39041,2021,count_Energy Storage,2.0
Delaware,39041,2022,count_Energy Storage,4.0
Delaware,39041,2023,count_Energy Storage,10.0
Delaware,39041,2024,count_Energy Storage,4.0
Delaware,39041,2000,count_Natural Gas/Propane,0
Delaware,39041,2001,count_Natural Gas/Propane,0
Delaware,39041,2002,count_Natural Gas/Propane,0
Delaware,39041,2003,count_Natural Gas/Propane,0
Delaware,39041,2004,count_Natural Gas/Propane,0.0
Delaware,39041,2005,count_Natural Gas/Propane,0
Delaware,39041,2006,count_Natural Gas/Propane,0.0
Delaware,39041,2007,count_Natural Gas/Propane,0
Delaware,39041,2008,count_Natural Gas/Propane,0
Delaware,39041,2009,count_Natural Gas/Propane,0.0
Delaware,39041,2010,count_Natural Gas/Propane,0.0
Delaware,39041,2011,count_Natural Gas/Propane,0
Delaware,39041,2012,count_Natural Gas/Propane,0.0
Delaware,39041,2013,count_Natural Gas/Propane,0.0
Delaware,39041,2014,count_Natural Gas/Propane,0.0
Delaware,39041,2015,count_Natural Gas/Propane,0.0
Delaware,39041,2016,count_Natural Gas/Propane,0.0
Delaware,39041,2017,count_Natural Gas/Propane,0.0
Delaware,39041,2018,count_Natural Gas/Propane,0.0
Delaware,39041,2019,count_Natural Gas/Propane,0.0
Delaware,39041,2020,count_Natural Gas/Propane,0.0
Delaware,39041,2021,count_Natural Gas/Propane,0.0
