COUNTYNAME,YEAR,count_Biofuel,count_Energy Storage,count_Natural Gas/Propane,count_Solar,count_Waste Gas,count_Wind,total_Biofuel,total_Energy Storage,total_Natural Gas/Propane,total_Solar,total_Waste Gas,total_Wind,GEOIDFQ
Delaware,2000,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2001,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2002,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2003,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0500000US39041
Delaware,2005,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2006,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.720000000000001,0.0,0.0,0500000US39041
Delaware,2007,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2008,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2009,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.850000000000001,0.0,10.0,0500000US39041
Delaware,2010,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,15.0,0500000US39041
Delaware,2011,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39041
Delaware,2012,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,84.7,0.0,0.0,0500000US39041
Delaware,2013,0.0,1.0,0.0,10.0,0.0,0.0,0.0,4000.0,0.0,72.895,0.0,0.0,0500000US39041
Delaware,2014,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,561.8,0.0,0.0,0500000US39041
Delaware,2015,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,114.5,0.0,0.0,0500000US39041
Delaware,2016,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,232.1,0.0,0.0,0500000US39041
Delaware,2017,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1219.5,0.0,0.0,0500000US39041
Delaware,2018,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,270.6,0.0,0.0,0500000US39041
Delaware,2019,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,3313.5,0.0,0.0,0500000US39041
Delaware,2020,0.0,2.0,0.0,74.0,0.0,0.0,0.0,565.0,0.0,779.7,0.0,0.0,0500000US39041
Delaware,2021,0.0,2.0,0.0,117.0,0.0,0.0,0.0,17.68,0.0,975.159,0.0,0.0,0500000US39041
Delaware,2022,0.0,4.0,0.0,146.0,0.0,0.0,0.0,21.52,0.0,1346.606,0.0,0.0,0500000US39041
Delaware,2023,0.0,10.0,0.0,250.0,0.0,0.0,0.0,75.68,0.0,1872.644,0.0,0.0,0500000US39041
Delaware,2024,0.0,4.0,0.0,126.0,0.0,0.0,0.0,1019.68,0.0,2108.7639999999997,0.0,0.0,0500000US39041
Fairfield,2000,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2001,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2002,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2003,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2004,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2005,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2006,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
Fairfield,2007,0,0,0,0,0,0,0,0,0,0,0,0,0500000US39045
