JURISNAME,GEOIDFQ,YEAR,FuelType,value
Ashley Village,1600000US3902582,2000,count_Biofuel,0
Ashley Village,1600000US3902582,2001,count_Biofuel,0
Ashley Village,1600000US3902582,2002,count_Biofuel,0
Ashley Village,1600000US3902582,2003,count_Biofuel,0
Ashley Village,1600000US3902582,2004,count_Biofuel,0
Ashley Village,1600000US3902582,2005,count_Biofuel,0
Ashley Village,1600000US3902582,2006,count_Biofuel,0
Ashley Village,1600000US3902582,2007,count_Biofuel,0
Ashley Village,1600000US3902582,2008,count_Biofuel,0
Ashley Village,1600000US3902582,2009,count_Biofuel,0
Ashley Village,1600000US3902582,2010,count_Biofuel,0
Ashley Village,1600000US3902582,2011,count_Biofuel,0
Ashley Village,1600000US3902582,2012,count_Biofuel,0
Ashley Village,1600000US3902582,2013,count_Biofuel,0
Ashley Village,1600000US3902582,2014,count_Biofuel,0
Ashley Village,1600000US3902582,2015,count_Biofuel,0
Ashley Village,1600000US3902582,2016,count_Biofuel,0
Ashley Village,1600000US3902582,2017,count_Biofuel,0
Ashley Village,1600000US3902582,2018,count_Biofuel,0
Ashley Village,1600000US3902582,2019,count_Biofuel,0
Ashley Village,1600000US3902582,2020,count_Biofuel,0
Ashley Village,1600000US3902582,2021,count_Biofuel,0
Ashley Village,1600000US3902582,2022,count_Biofuel,0.0
Ashley Village,1600000US3902582,2023,count_Biofuel,0
Ashley Village,1600000US3902582,2000,count_Energy Storage,0
Ashley Village,1600000US3902582,2001,count_Energy Storage,0
Ashley Village,1600000US3902582,2002,count_Energy Storage,0
Ashley Village,1600000US3902582,2003,count_Energy Storage,0
Ashley Village,1600000US3902582,2004,count_Energy Storage,0
Ashley Village,1600000US3902582,2005,count_Energy Storage,0
Ashley Village,1600000US3902582,2006,count_Energy Storage,0
Ashley Village,1600000US3902582,2007,count_Energy Storage,0
Ashley Village,1600000US3902582,2008,count_Energy Storage,0
Ashley Village,1600000US3902582,2009,count_Energy Storage,0
Ashley Village,1600000US3902582,2010,count_Energy Storage,0
Ashley Village,1600000US3902582,2011,count_Energy Storage,0
Ashley Village,1600000US3902582,2012,count_Energy Storage,0
Ashley Village,1600000US3902582,2013,count_Energy Storage,0
Ashley Village,1600000US3902582,2014,count_Energy Storage,0
Ashley Village,1600000US3902582,2015,count_Energy Storage,0
Ashley Village,1600000US3902582,2016,count_Energy Storage,0
Ashley Village,1600000US3902582,2017,count_Energy Storage,0
Ashley Village,1600000US3902582,2018,count_Energy Storage,0
Ashley Village,1600000US3902582,2019,count_Energy Storage,0
Ashley Village,1600000US3902582,2020,count_Energy Storage,0
Ashley Village,1600000US3902582,2021,count_Energy Storage,0
Ashley Village,1600000US3902582,2022,count_Energy Storage,0.0
Ashley Village,1600000US3902582,2023,count_Energy Storage,0
Ashley Village,1600000US3902582,2000,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2001,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2002,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2003,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2004,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2005,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2006,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2007,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2008,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2009,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2010,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2011,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2012,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2013,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2014,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2015,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2016,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2017,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2018,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2019,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2020,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2021,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2022,count_Natural Gas/Propane,0.0
Ashley Village,1600000US3902582,2023,count_Natural Gas/Propane,0
Ashley Village,1600000US3902582,2000,count_Solar,0
Ashley Village,1600000US3902582,2001,count_Solar,0
Ashley Village,1600000US3902582,2002,count_Solar,0
Ashley Village,1600000US3902582,2003,count_Solar,0
Ashley Village,1600000US3902582,2004,count_Solar,0
Ashley Village,1600000US3902582,2005,count_Solar,0
Ashley Village,1600000US3902582,2006,count_Solar,0
Ashley Village,1600000US3902582,2007,count_Solar,0
Ashley Village,1600000US3902582,2008,count_Solar,0
Ashley Village,1600000US3902582,2009,count_Solar,0
Ashley Village,1600000US3902582,2010,count_Solar,0
Ashley Village,1600000US3902582,2011,count_Solar,0
Ashley Village,1600000US3902582,2012,count_Solar,0
Ashley Village,1600000US3902582,2013,count_Solar,0
Ashley Village,1600000US3902582,2014,count_Solar,0
