JURISNAME,YEAR,count_Biofuel,count_Energy Storage,count_Natural Gas/Propane,count_Solar,count_Waste Gas,count_Wind,total_Biofuel,total_Energy Storage,total_Natural Gas/Propane,total_Solar,total_Waste Gas,total_Wind,GEOIDFQ
Ashley Village,2000,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2001,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2002,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2003,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2004,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2005,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2006,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2007,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2008,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2009,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2010,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2011,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2012,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2013,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2014,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2015,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2016,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2017,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2018,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2019,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2020,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2021,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,1600000US3902582
Ashley Village,2023,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Ashley Village,2024,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3902582
Bainbridge Village,2000,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2001,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2002,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
