NAME,YEAR,count_Biofuel,count_Energy Storage,count_Natural Gas/Propane,count_Solar,count_Waste Gas,count_Wind,total_Biofuel,total_Energy Storage,total_Natural Gas/Propane,total_Solar,total_Waste Gas,total_Wind,GEOID
15-County Region,2000,0,0,0,0,0,1,0,0,0,0,0,10,001
15-County Region,2001,0,0,0,0,0,1,0,0,0,0,0,18,001
15-County Region,2002,0,0,0,0,0,0,0,0,0,0,0,0,001
15-County Region,2003,0,0,0,0,0,0,0,0,0,0,0,0,001
15-County Region,2004,0,0,0,0,0,1,0,0,0,0,0,1,001
15-County Region,2005,0,0,0,1,0,2,0,0,0,1.65,0,8,001
15-County Region,2006,0,0,0,5,0,0,0,0,0,13.86,0,0,001
15-County Region,2007,0,0,0,4,0,0,0,0,0,25.05,0,0,001
15-County Region,2008,0,0,0,3,0,1,0,0,0,69.3,0,1.8,001
15-County Region,2009,0,0,0,15,0,4,0,0,0,77.4,0,47.8,001
15-County Region,2010,0,0,0,32,0,9,0,0,0,445.49,0,161.8,001
15-County Region,2011,0,0,0,56,0,1,0,0,0,1305.165,0,2.4,001
15-County Region,2012,0,0,0,49,0,1,0,0,0,6853.46,0,1.5,001
15-County Region,2013,1,1,0,76,0,1,400,4000,0,1690.355,0,30,001
15-County Region,2014,0,0,0,59,0,0,0,0,0,2244.2400000000002,0,0,001
15-County Region,2015,0,0,1,106,0,0,0,0,248,1400.32,0,0,001
15-County Region,2016,0,0,0,118,0,0,0,0,0,1373.165,0,0,001
15-County Region,2017,0,1,0,171,1,0,0,100,0,4905.78,3500,0,001
15-County Region,2018,0,0,1,241,0,1,0,0,15036,2522.11,0,4500,001
15-County Region,2019,0,1,0,554,0,0,0,250,0,6608.96,0,0,001
15-County Region,2020,0,6,0,683,0,0,0,600,0,4931.88,0,0,001
15-County Region,2021,0,11,0,1090,0,0,0,78.28,0,8520.562,0,0,001
15-County Region,2022,0,31,0,1418,0,0,0,132.76,0,10393.91,0,0,001
15-County Region,2023,0,79,2,1990,0,0,0,438.67,4804,23772.402,0,0,001
15-County Region,2024,0,20,0,1501,0,0,0,1558.12,0,13681.038,0,0,001
,,,,,,,,,,,,,,
NAME,YEAR,count_Biofuel,count_Energy Storage,count_Natural Gas/Propane,count_Solar,count_Waste Gas,count_Wind,total_Biofuel,total_Energy Storage,total_Natural Gas/Propane,total_Solar,total_Waste Gas,total_Wind,
15-County Region,2000,0,0,0,0,0,1,0,0,0,0,0,10,
15-County Region,2001,0,0,0,0,0,2,0,0,0,0,0,28,
15-County Region,2002,0,0,0,0,0,2,0,0,0,0,0,28,
15-County Region,2003,0,0,0,0,0,2,0,0,0,0,0,28,
15-County Region,2004,0,0,0,0,0,3,0,0,0,0,0,29,
15-County Region,2005,0,0,0,1,0,5,0,0,0,1.65,0,37,
15-County Region,2006,0,0,0,6,0,5,0,0,0,15.51,0,37,
15-County Region,2007,0,0,0,10,0,5,0,0,0,40.56,0,37,
15-County Region,2008,0,0,0,13,0,6,0,0,0,109.86,0,38.8,
15-County Region,2009,0,0,0,28,0,10,0,0,0,187.26,0,86.6,
15-County Region,2010,0,0,0,60,0,19,0,0,0,632.75,0,248.4,
15-County Region,2011,0,0,0,116,0,20,0,0,0,1937.915,0,250.8,
15-County Region,2012,0,0,0,165,0,21,0,0,0,8791.375,0,252.3,
15-County Region,2013,1,1,0,241,0,22,400,4000,0,10481.73,0,282.3,
15-County Region,2014,1,1,0,300,0,22,400,4000,0,12725.97,0,282.3,
15-County Region,2015,1,1,1,406,0,22,400,4000,248,14126.29,0,282.3,
15-County Region,2016,1,1,1,524,0,22,400,4000,248,15499.455,0,282.3,
15-County Region,2017,1,2,1,695,1,22,400,4100,248,20405.235,3500,282.3,
15-County Region,2018,1,2,2,936,1,23,400,4100,15284,22927.345,3500,4782.3,
15-County Region,2019,1,3,2,1490,1,23,400,4350,15284,29536.305,3500,4782.3,
15-County Region,2020,1,9,2,2173,1,23,400,4950,15284,34468.185,3500,4782.3,
15-County Region,2021,1,20,2,3263,1,23,400,5028.28,15284,42988.747,3500,4782.3,
15-County Region,2022,1,51,2,4681,1,23,400,5161.04,15284,53382.657,3500,4782.3,
15-County Region,2023,1,130,4,6671,1,23,400,5599.71,20088,77155.059,3500,4782.3,
15-County Region,2024,1,150,4,8172,1,23,400,7157.83,20088,90836.097,3500,4782.3,
