NAME,GEOIDFQ,SUMLEVEL,YEAR,METRIC,FUEL_TYPE,VALUE
15-County Region,M010000US001,M01,2000,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2001,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2002,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2003,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2004,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2005,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2006,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2007,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2008,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2009,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2010,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2011,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2012,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2013,Facilities,Biofuel,1.0
15-County Region,M010000US001,M01,2014,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2015,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2016,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2017,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2018,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2019,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2020,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2021,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2022,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2023,Facilities,Biofuel,0.0
15-County Region,M010000US001,M01,2000,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2001,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2002,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2003,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2004,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2005,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2006,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2007,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2008,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2009,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2010,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2011,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2012,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2013,Facilities,Energy Storage,1.0
15-County Region,M010000US001,M01,2014,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2015,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2016,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2017,Facilities,Energy Storage,1.0
15-County Region,M010000US001,M01,2018,Facilities,Energy Storage,0.0
15-County Region,M010000US001,M01,2019,Facilities,Energy Storage,1.0
15-County Region,M010000US001,M01,2020,Facilities,Energy Storage,6.0
15-County Region,M010000US001,M01,2021,Facilities,Energy Storage,11.0
15-County Region,M010000US001,M01,2022,Facilities,Energy Storage,31.0
15-County Region,M010000US001,M01,2023,Facilities,Energy Storage,79.0
15-County Region,M010000US001,M01,2000,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2001,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2002,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2003,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2004,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2005,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2006,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2007,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2008,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2009,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2010,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2011,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2012,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2013,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2014,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2015,Facilities,Natural Gas/Propane,1.0
15-County Region,M010000US001,M01,2016,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2017,Facilities,Natural Gas/Propane,0.0
15-County Region,M010000US001,M01,2018,Facilities,Natural Gas/Propane,1.0
15-County Region,M010000US001,M01,2019,Facilities,Natural Gas/Propane,0.0
