County,COUNTYFP,Year,Technology,value
Delaware,39041,2009,count_Biomass,0
Delaware,39041,2010,count_Biomass,0.0
Delaware,39041,2011,count_Biomass,0.0
Delaware,39041,2012,count_Biomass,0.0
Delaware,39041,2013,count_Biomass,0.0
Delaware,39041,2014,count_Biomass,0.0
Delaware,39041,2015,count_Biomass,0.0
Delaware,39041,2016,count_Biomass,0.0
Delaware,39041,2017,count_Biomass,0.0
Delaware,39041,2018,count_Biomass,0.0
Delaware,39041,2019,count_Biomass,0.0
Delaware,39041,2020,count_Biomass,0.0
Delaware,39041,2021,count_Biomass,0.0
Delaware,39041,2022,count_Biomass,0.0
Delaware,39041,2023,count_Biomass,0.0
Delaware,39041,2024,count_Biomass,0.0
Delaware,39041,2009,count_Captured Heat from Biologically Derived Methane Gas,0
Delaware,39041,2010,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2011,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2012,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2013,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2014,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2015,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2016,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2017,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2018,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2019,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2020,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2021,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2022,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2023,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2024,count_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2009,count_Hydroelectric,0
Delaware,39041,2010,count_Hydroelectric,0.0
Delaware,39041,2011,count_Hydroelectric,0.0
Delaware,39041,2012,count_Hydroelectric,0.0
Delaware,39041,2013,count_Hydroelectric,0.0
Delaware,39041,2014,count_Hydroelectric,0.0
Delaware,39041,2015,count_Hydroelectric,0.0
Delaware,39041,2016,count_Hydroelectric,0.0
Delaware,39041,2017,count_Hydroelectric,0.0
Delaware,39041,2018,count_Hydroelectric,0.0
Delaware,39041,2019,count_Hydroelectric,0.0
Delaware,39041,2020,count_Hydroelectric,0.0
Delaware,39041,2021,count_Hydroelectric,0.0
Delaware,39041,2022,count_Hydroelectric,0.0
Delaware,39041,2023,count_Hydroelectric,0.0
Delaware,39041,2024,count_Hydroelectric,0.0
Delaware,39041,2009,count_Solar Photovoltaic,0
Delaware,39041,2010,count_Solar Photovoltaic,16.0
Delaware,39041,2011,count_Solar Photovoltaic,77.0
Delaware,39041,2012,count_Solar Photovoltaic,21.0
Delaware,39041,2013,count_Solar Photovoltaic,18.0
Delaware,39041,2014,count_Solar Photovoltaic,14.0
Delaware,39041,2015,count_Solar Photovoltaic,13.0
Delaware,39041,2016,count_Solar Photovoltaic,23.0
Delaware,39041,2017,count_Solar Photovoltaic,35.0
Delaware,39041,2018,count_Solar Photovoltaic,7.0
Delaware,39041,2019,count_Solar Photovoltaic,12.0
Delaware,39041,2020,count_Solar Photovoltaic,5.0
Delaware,39041,2021,count_Solar Photovoltaic,2.0
Delaware,39041,2022,count_Solar Photovoltaic,8.0
Delaware,39041,2023,count_Solar Photovoltaic,7.0
Delaware,39041,2024,count_Solar Photovoltaic,46.0
Delaware,39041,2009,count_Solid Waste,0
Delaware,39041,2010,count_Solid Waste,0.0
Delaware,39041,2011,count_Solid Waste,0.0
Delaware,39041,2012,count_Solid Waste,0.0
Delaware,39041,2013,count_Solid Waste,0.0
Delaware,39041,2014,count_Solid Waste,0.0
Delaware,39041,2015,count_Solid Waste,0.0
Delaware,39041,2016,count_Solid Waste,0.0
Delaware,39041,2017,count_Solid Waste,0.0
Delaware,39041,2018,count_Solid Waste,0.0
Delaware,39041,2019,count_Solid Waste,0.0
Delaware,39041,2020,count_Solid Waste,0.0
Delaware,39041,2021,count_Solid Waste,0.0
Delaware,39041,2022,count_Solid Waste,0.0
Delaware,39041,2023,count_Solid Waste,0.0
Delaware,39041,2024,count_Solid Waste,0.0
Delaware,39041,2009,count_Wind,0
Delaware,39041,2010,count_Wind,0.0
Delaware,39041,2011,count_Wind,0.0
Delaware,39041,2012,count_Wind,0.0
Delaware,39041,2013,count_Wind,0.0
