County,Year,count_Biomass,count_Captured Heat from Biologically Derived Methane Gas,count_Hydroelectric,count_Solar Photovoltaic,count_Solid Waste,count_Wind,total_Biomass,total_Captured Heat from Biologically Derived Methane Gas,total_Hydroelectric,total_Solar Photovoltaic,total_Solid Waste,total_Wind,COUNTYFP
Delaware,2009,0,0,0,0,0,0,0,0,0,0,0,0,39041
Delaware,2010,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.46637,0.0,0.0,39041
Delaware,2011,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,1.38571,0.0,0.0,39041
Delaware,2012,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.20308500000000002,0.0,0.0,39041
Delaware,2013,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23489500000000002,0.0,0.0,39041
Delaware,2014,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.10539,0.0,0.0,39041
Delaware,2015,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.11434,0.0,0.0,39041
Delaware,2016,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.22404000000000002,0.0,0.0,39041
Delaware,2017,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.41034,0.0,0.0,39041
Delaware,2018,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09249,0.0,0.0,39041
Delaware,2019,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28685,0.0,0.0,39041
Delaware,2020,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.09698,0.0,42.5,39041
Delaware,2021,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06112000000000001,0.0,0.0,39041
Delaware,2022,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.075565,0.0,0.0,39041
Delaware,2023,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.0,0.0,39041
Delaware,2024,0.0,0.0,0.0,46.0,0.0,1.0,0.0,0.0,0.0,0.5392399999999999,0.0,55.36,39041
Fairfield,2009,0,0,0,0,0,0,0,0,0,0,0,0,39045
Fairfield,2010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,39045
Fairfield,2011,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01945,0.0,0.0,39045
Fairfield,2012,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05886,0.0,0.0,39045
Fairfield,2013,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.050420000000000006,0.0,0.0,39045
Fairfield,2014,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02683,0.0,0.0,39045
Fairfield,2015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01053,0.0,0.0,39045
Fairfield,2016,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04519,0.0,0.0,39045
Fairfield,2017,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.051859999999999996,0.0,0.0,39045
Fairfield,2018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.65727,0.0,0.0,39045
Fairfield,2019,0,0,0,0,0,0,0,0,0,0,0,0,39045
Fairfield,2020,0,0,0,0,0,0,0,0,0,0,0,0,39045
Fairfield,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,39045
Fairfield,2022,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.046985,0.0,0.0,39045
Fairfield,2023,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.056455,0.0,0.0,39045
Fairfield,2024,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.41456,0.0,0.0,39045
Fayette,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,39047
Fayette,2010,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01657,0.0,0.0,39047
Fayette,2011,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.31867,0.0,0.0,39047
Fayette,2012,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.10411000000000001,0.0,46.0,39047
Fayette,2013,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.45,0.01008,0.0,0.0,39047
Fayette,2014,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.013439999999999999,0.0,0.0,39047
Fayette,2015,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0806,0.0,0.0,39047
Fayette,2016,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04682,0.0,0.0,39047
Fayette,2017,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0,0.0,39047
Fayette,2018,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08523,0.0,0.0,39047
Fayette,2019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00944,0.0,0.0,39047
Fayette,2020,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.680437,0.0,0.0,39047
Fayette,2021,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.17865,0.0,0.0,39047
Fayette,2022,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02115,0.0,0.0,39047
