Name,GEOID,Year,Technology,value
15-County Region,001,2009,count_Biomass,2.0
15-County Region,001,2010,count_Biomass,1.0
15-County Region,001,2011,count_Biomass,3.0
15-County Region,001,2012,count_Biomass,0.0
15-County Region,001,2013,count_Biomass,0.0
15-County Region,001,2014,count_Biomass,1.0
15-County Region,001,2015,count_Biomass,0.0
15-County Region,001,2016,count_Biomass,0.0
15-County Region,001,2017,count_Biomass,0.0
15-County Region,001,2018,count_Biomass,0.0
15-County Region,001,2019,count_Biomass,0.0
15-County Region,001,2020,count_Biomass,0.0
15-County Region,001,2021,count_Biomass,0.0
15-County Region,001,2022,count_Biomass,0.0
15-County Region,001,2023,count_Biomass,0.0
15-County Region,001,2024,count_Biomass,0.0
15-County Region,001,2009,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2010,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2011,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2012,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2013,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2014,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2015,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2016,count_Captured Heat from Biologically Derived Methane Gas,1.0
15-County Region,001,2017,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2018,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2019,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2020,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2021,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2022,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2023,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2024,count_Captured Heat from Biologically Derived Methane Gas,0.0
15-County Region,001,2009,count_Hydroelectric,0.0
15-County Region,001,2010,count_Hydroelectric,0.0
15-County Region,001,2011,count_Hydroelectric,0.0
15-County Region,001,2012,count_Hydroelectric,0.0
15-County Region,001,2013,count_Hydroelectric,1.0
15-County Region,001,2014,count_Hydroelectric,0.0
15-County Region,001,2015,count_Hydroelectric,0.0
15-County Region,001,2016,count_Hydroelectric,0.0
15-County Region,001,2017,count_Hydroelectric,0.0
15-County Region,001,2018,count_Hydroelectric,0.0
15-County Region,001,2019,count_Hydroelectric,0.0
15-County Region,001,2020,count_Hydroelectric,0.0
15-County Region,001,2021,count_Hydroelectric,0.0
15-County Region,001,2022,count_Hydroelectric,0.0
15-County Region,001,2023,count_Hydroelectric,0.0
15-County Region,001,2024,count_Hydroelectric,0.0
15-County Region,001,2009,count_Solar Photovoltaic,3.0
15-County Region,001,2010,count_Solar Photovoltaic,50.0
15-County Region,001,2011,count_Solar Photovoltaic,245.0
15-County Region,001,2012,count_Solar Photovoltaic,145.0
15-County Region,001,2013,count_Solar Photovoltaic,106.0
15-County Region,001,2014,count_Solar Photovoltaic,94.0
15-County Region,001,2015,count_Solar Photovoltaic,109.0
15-County Region,001,2016,count_Solar Photovoltaic,147.0
15-County Region,001,2017,count_Solar Photovoltaic,122.0
15-County Region,001,2018,count_Solar Photovoltaic,46.0
15-County Region,001,2019,count_Solar Photovoltaic,46.0
15-County Region,001,2020,count_Solar Photovoltaic,37.0
