Year,count_Biomass,count_Captured Heat from Biologically Derived Methane Gas,count_Hydroelectric,count_Solar Photovoltaic,count_Solid Waste,count_Wind,total_Biomass,total_Captured Heat from Biologically Derived Methane Gas,total_Hydroelectric,total_Solar Photovoltaic,total_Solid Waste,total_Wind,Name,GEOID
2009,2.0,0.0,0.0,3.0,0.0,0.0,97.6,0.0,0.0,0.0886,0.0,0.0,15-County Region,001
2010,1.0,0.0,0.0,50.0,1.0,1.0,2.7,0.0,0.0,0.9585699999999999,5.0,0.01,15-County Region,001
2011,3.0,0.0,0.0,245.0,0.0,0.0,99.39999999999999,0.0,0.0,4.313003000000001,0.0,0.0,15-County Region,001
2012,0.0,0.0,0.0,145.0,0.0,1.0,0.0,0.0,0.0,3.6581550000000007,0.0,46.0,15-County Region,001
2013,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,5.45,9.303735000000001,0.0,0.0,15-County Region,001
2014,1.0,0.0,0.0,94.0,0.0,0.0,0.85,0.0,0.0,80.00522000000001,0.0,0.0,15-County Region,001
2015,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,12.222290000000001,0.0,0.0,15-County Region,001
2016,0.0,1.0,0.0,147.0,0.0,0.0,0.0,1.0,0.0,23.525405000000003,0.0,0.0,15-County Region,001
2017,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,2.0013900000000002,0.0,0.0,15-County Region,001
2018,0.0,0.0,0.0,46.0,0.0,1.0,0.0,0.0,0.0,6.5083,0.0,4.5,15-County Region,001
2019,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,6.577995,0.0,0.0,15-County Region,001
2020,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,1.951477,0.0,42.5,15-County Region,001
2021,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.3050949999999997,0.0,0.0,15-County Region,001
2022,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,2.0490350000000004,0.0,0.0,15-County Region,001
2023,0.0,0.0,0.0,79.0,0.0,1.0,0.0,0.0,0.0,1054.228106,0.0,0.0024,15-County Region,001
2024,0.0,0.0,0.0,305.0,0.0,1.0,0.0,0.0,0.0,779.89122,0.0,55.36,15-County Region,001
